1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		41	44	45	40	45	48	42	48	45	50	44
R2		41	42	45	48	40	30	42	40	27	20	33
R3		39	36	39	44	40	42	42	32	27	30	22
R4		36	48	48	48	30	42	35	48	45	50	33
R5		31	38	45	44	35	48	42	40	36	30	33
R6		38	38	36	40	35	42	28	48	27	20	33
R7		32	40	45	32	45	36	28	8	36	30	33
R8		38	44	42	44	30	42	42	32	36	40	22
R9		35	44	30	52	35	36	35	32	36	20	55
R10		47	38	36	44	45	42	35	32	36	30	44
R11		45	52	39	48	35	48	49	24	27	40	11
R12		41	30	39	36	25	30	42	48	27	30	44
R13		42	38	45	44	40	36	42	40	45	50	44
R14		36	44	33	48	35	30	49	40	36	50	55
R15		38	38	45	44	35	36	42	40	36	30	22
R16		42	50	36	52	40	42	28	40	27	20	33
R17		37	46	42	44	50	36	49	40	54	40	33
R18		41	40	36	24	45	30	42	24	45	30	33
R19		43	42	39	40	45	48	42	40	18	30	44
R20		38	36	39	44	50	42	42	32	45	40	33
R21		37	32	39	40	50	48	35	48	45	30	33
R22		38	38	36	24	40	42	21	32	36	50	33
R23		39	36	36	40	55	36	42	48	45	30	33
R24		36	36	39	44	40	24	28	48	45	10	44
R25		35	40	36	32	45	42	49	16	36	50	33
R26		39	36	36	52	25	48	49	56	18	50	11
R27		40	40	45	36	45	36	35	32	45	50	55
R28		42	32	39	32	45	48	28	32	45	20	33
R29		44	44	39	36	30	42	42	48	36	30	22
R30		40	40	39	40	30	30	49	32	27	40	44
R31		38	38	33	44	50	42	35	40	36	40	44
R32		35	36	39	52	45	30	28	56	54	40	33
R33		35	34	48	32	40	42	42	40	36	40	33
R34		43	32	30	48	30	42	42	40	36	40	44
R35		35	44	36	32	30	42	42	32	27	30	44
R36		37	36	36	36	35	48	28	48	27	40	22
R37		45	34	48	48	25	36	35	48	54	30	33
R38		33	32	33	40	40	42	35	56	54	30	55
R39		41	40	39	52	45	24	42	32	45	30	44
R40		31	40	39	44	40	36	35	32	45	30	33
R41		42	32	42	32	45	42	35	48	54	40	33
R42		42	40	39	40	35	30	49	40	36	30	33
R43		33	42	45	48	40	48	21	32	36	50	44
R44		39	36	39	32	30	36	49	40	45	30	22
R45		35	36	36	24	40	30	42	40	27	40	55
R46		36	34	45	40	30	48	35	48	45	50	44
R47		40	38	39	28	40	30	42	40	45	40	33
R48		40	38	45	32	30	30	35	40	45	40	33
R49		36	46	36	40	35	30	42	40	27	20	44
R50		41	42	39	44	30	42	42	32	36	40	33
R51		35	42	36	36	35	42	35	40	45	40	33
R52		40	40	39	36	35	42	35	24	45	40	33
R53		44	40	39	32	50	36	42	40	36	30	22
R54		37	42	42	44	35	48	21	56	36	50	44
R55		33	36	42	40	30	48	42	48	45	40	33
R56		36	44	42	52	35	24	49	40	45	50	22
R57		41	34	33	36	45	30	42	48	9	30	11
R58		37	30	27	40	45	30	35	40	27	30	33
R59		38	40	30	44	40	48	35	48	45	20	22
R60		44	34	42	28	45	36	21	32	27	30	22
R61		33	42	39	32	50	24	42	48	45	40	33
R62		41	34	39	48	50	42	42	48	36	20	44
R63		38	34	39	44	45	48	35	48	45	20	44
R64		39	40	39	44	30	36	42	24	45	50	33
R65		41	38	30	44	35	42	49	32	45	20	33
R66		36	38	33	36	30	36	28	48	36	30	55
R67		40	30	48	32	45	36	42	48	36	40	22
R68		36	42	48	32	40	30	35	32	36	40	44
R69		37	42	42	44	40	48	49	24	27	40	22
R70		38	38	39	44	50	42	28	48	36	50	22
R71		36	32	42	44	30	24	49	40	36	30	33
R72		41	48	48	40	40	60	49	32	36	40	33
R73		37	40	39	40	40	30	35	32	54	30	33
R74		36	36	42	36	45	30	28	32	36	40	33
R75		30	34	48	40	40	30	35	32	36	40	44
R76		39	42	42	36	35	36	35	40	45	40	44
R77		43	40	42	36	30	6	28	48	36	40	44
R78		37	42	42	32	40	36	35	32	36	50	22
R79		40	46	42	40	40	42	35	48	27	20	11
R80		38	34	45	36	40	36	42	48	54	50	33
R81		41	28	36	36	30	30	28	40	36	30	33
R82		38	28	45	24	35	36	28	40	36	30	55
R83		40	36	30	40	45	48	42	40	27	40	44
R84		41	34	39	44	45	36	42	32	18	20	22
R85		37	36	24	36	40	30	35	40	36	30	22
R86		36	42	39	40	30	42	35	24	9	30	22
R87		41	38	39	44	40	18	35	32	36	40	33
R88		36	44	39	24	50	54	42	32	36	50	33
R89		39	52	42	40	45	36	49	48	27	40	33
R90		36	38	39	36	35	42	49	48	54	40	33
R91		38	36	39	40	45	54	49	32	45	30	44
R92		36	46	42	44	45	36	35	40	36	50	33
R93		38	38	30	40	40	36	49	32	45	20	44
R94		39	30	42	48	30	36	42	48	45	30	22
R95		40	44	36	44	30	30	49	56	36	40	44
R96		41	34	36	36	35	48	35	24	36	50	33
R97		31	44	30	48	40	36	49	48	45	50	44
R98		44	44	39	24	25	42	35	24	36	40	33
R99		35	40	30	36	45	36	35	48	45	40	33
R100		39	46	36	40	25	36	49	40	18	50	44
R101		32	34	39	44	40	42	42	24	27	40	22
R102		40	46	36	48	40	30	42	32	45	30	44
R103		39	34	42	44	50	48	35	48	27	50	33
R104		39	38	33	48	40	42	35	48	45	50	33
R105		37	42	48	52	35	24	35	32	36	50	44
R106		40	38	51	36	35	48	28	32	36	40	33
R107		40	36	39	40	50	36	49	32	36	40	33
R108		41	34	51	44	40	30	42	40	27	20	33
R109		40	36	36	40	40	36	28	40	45	30	55
R110		37	38	33	36	40	48	35	32	36	20	44
R111		42	38	42	36	35	54	56	40	54	40	33
R112		36	44	42	40	45	24	42	40	27	20	33
R113		40	42	39	36	45	24	35	24	36	20	33
R114		40	46	48	24	40	36	35	32	45	40	44
R115		38	40	42	40	40	36	56	40	36	60	22
R116		40	40	39	44	40	30	35	32	54	40	22
R117		39	38	39	44	45	42	49	32	45	40	11
R118		37	34	39	36	45	42	28	32	45	40	33
R119		41	42	42	44	45	24	28	32	45	40	33
R120		41	40	33	32	45	42	35	40	45	40	33
R121		43	36	48	44	45	42	28	40	45	40	33
R122		39	42	36	40	45	48	21	48	9	50	33
R123		42	40	30	48	40	24	49	56	36	30	44
R124		39	42	30	44	40	42	28	24	27	30	44
R125		38	38	45	40	50	42	42	24	45	50	11
R126		39	50	33	40	40	30	42	16	27	40	44
R127		40	40	45	36	45	30	21	48	45	50	44
R128		41	34	42	36	25	36	35	32	45	50	33
R129		42	38	42	44	40	42	28	24	27	40	33
R130		38	32	45	36	30	30	42	40	45	40	22
R131		44	36	30	36	50	42	28	48	36	40	11
R132		36	42	39	52	30	36	35	40	36	20	44
R133		38	42	36	36	30	24	28	48	45	40	33
R134		41	42	42	48	30	42	42	40	36	50	44
R135		37	46	45	40	30	30	35	48	54	30	44
R136		38	36	36	48	25	30	35	32	36	10	44
R137		38	44	39	32	45	54	35	32	36	40	33
R138		39	38	39	24	45	36	28	32	27	40	33
R139		34	40	33	52	30	42	49	40	54	50	33
R140		42	34	39	36	40	42	42	32	27	20	44
R141		36	42	42	44	35	30	35	24	36	20	22
R142		35	46	51	48	50	42	35	32	36	50	44
R143		38	46	45	52	40	24	21	24	54	50	44
R144		35	38	39	40	30	36	42	40	27	40	22
R145		32	28	45	36	30	24	35	24	36	50	33
R146		35	40	36	44	35	42	28	32	36	20	33
R147		39	36	42	28	20	48	42	40	45	40	44
R148		43	46	30	44	45	42	49	48	36	40	44
R149		37	42	33	40	40	48	49	32	45	40	33
R150		46	42	30	44	45	42	42	48	18	40	22
R151		35	36	36	44	30	36	49	48	54	60	44
R152		41	46	39	32	25	48	42	32	27	30	11
R153		39	44	45	44	30	36	35	48	27	40	33
R154		39	36	24	44	40	36	35	32	36	30	22
R155		36	40	42	40	35	30	42	24	27	30	22
R156		41	42	33	40	45	30	35	48	45	40	44
R157		42	38	39	44	35	36	42	32	27	30	33
R158		34	34	48	44	45	18	21	48	45	60	44
R159		41	38	30	36	40	36	42	48	27	40	44
R160		40	38	42	40	40	42	56	32	36	40	33
R161		43	42	30	36	45	42	35	48	45	30	44
R162		39	36	36	48	45	30	56	32	45	40	33
R163		37	36	36	36	40	36	42	32	45	40	33
R164		33	44	45	44	30	42	42	40	36	30	33
R165		35	50	39	44	45	36	49	40	45	30	33
R166		33	40	33	44	40	36	35	40	45	20	33
R167		34	40	42	44	45	30	49	56	27	30	44
R168		36	40	42	36	40	30	42	32	27	40	33
R169		39	44	33	32	25	48	35	16	36	40	22
R170		36	36	42	32	40	30	35	40	27	30	44
R171		36	34	42	40	35	36	35	40	36	40	33
R172		40	38	48	36	35	36	21	32	9	40	55
R173		41	44	30	32	35	42	42	32	45	40	55
R174		31	30	45	44	35	30	42	40	45	30	33
R175		33	46	42	24	35	42	35	32	45	40	55
R176		33	34	39	40	35	48	35	32	18	20	33
R177		35	38	27	36	40	36	42	48	36	50	33
R178		40	38	39	44	45	24	42	40	45	50	22
R179		35	40	33	32	40	42	35	32	36	50	33
R180		37	44	30	48	40	36	28	40	36	50	33
R181		40	38	39	36	45	30	28	32	45	40	44
R182		40	30	45	36	35	30	35	40	54	50	33
R183		40	42	42	44	35	36	28	48	27	30	33
R184		34	40	45	36	35	30	56	48	45	40	22
R185		43	38	27	40	35	30	49	32	36	40	55
R186		39	44	36	20	50	24	42	40	45	40	33
R187		42	42	36	44	40	24	42	40	36	50	33
R188		35	36	33	36	35	36	28	32	45	50	44
R189		41	36	48	40	35	42	35	48	36	40	33
R190		35	42	51	44	30	36	35	40	36	50	22
