500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		13	12	12	16	10	12	14	0	18	10	11
R2		11	12	15	12	15	12	7	8	9	10	0
R3		13	10	3	16	10	0	14	8	18	10	11
R4		14	10	12	16	15	12	0	16	0	10	11
R5		13	14	12	4	15	12	7	16	9	10	11
R6		10	12	9	16	15	18	7	16	18	10	11
R7		11	8	15	12	10	6	14	16	18	10	11
R8		13	16	12	12	15	18	14	8	9	10	0
R9		10	12	9	12	15	6	7	8	9	10	0
R10		13	10	9	16	10	12	7	8	9	0	11
R11		10	10	12	16	5	12	14	16	9	10	11
R12		7	14	9	16	15	12	14	16	9	0	11
R13		11	14	12	8	15	12	7	16	9	10	0
R14		11	14	6	8	15	12	7	16	9	10	0
R15		14	12	12	8	10	12	14	16	9	10	11
R16		16	10	9	12	10	12	14	16	9	10	11
R17		13	12	15	12	5	0	14	8	0	10	0
R18		12	14	12	12	15	6	14	0	9	0	11
R19		10	10	12	16	5	6	14	8	9	0	11
R20		13	12	12	16	10	6	0	16	18	0	0
R21		12	12	15	16	10	12	7	8	9	10	11
R22		13	14	9	16	15	12	0	8	18	10	11
R23		16	14	15	4	5	12	7	0	9	10	11
R24		13	12	12	8	15	12	14	16	9	10	11
R25		15	6	12	8	15	6	7	8	9	10	11
R26		12	10	12	16	5	12	14	16	9	10	11
R27		13	14	15	12	15	18	0	16	0	10	11
R28		9	16	9	12	15	12	14	8	0	10	11
R29		12	14	12	4	10	18	7	0	9	10	0
R30		12	14	12	4	15	12	14	8	18	10	11
R31		11	12	9	8	15	6	14	8	9	0	11
R32		9	8	12	16	15	12	7	0	0	10	11
R33		11	12	9	12	10	12	7	8	18	0	0
R34		11	12	9	8	15	12	14	8	18	10	11
R35		15	10	9	8	10	6	7	8	18	10	0
R36		9	10	12	16	15	0	7	8	9	10	11
R37		7	14	15	4	15	12	14	16	18	10	11
R38		13	14	12	12	10	12	14	0	18	10	11
R39		11	10	15	12	5	12	14	0	9	10	0
R40		15	10	12	16	10	6	7	8	18	10	0
R41		12	14	15	16	15	6	7	16	9	10	0
R42		13	14	15	4	10	0	14	0	0	10	11
R43		13	12	6	16	10	12	14	16	18	0	0
R44		15	10	12	12	15	12	14	8	9	10	0
R45		12	14	15	16	10	12	14	8	0	10	0
R46		11	16	12	16	15	12	0	16	18	0	0
R47		10	8	15	16	15	18	14	16	9	10	0
R48		12	14	12	16	15	12	14	16	9	10	11
R49		12	10	15	12	10	18	14	0	9	10	11
R50		13	12	15	12	15	12	14	8	18	10	11
R51		13	14	9	16	15	12	7	16	18	10	11
R52		17	12	9	16	15	6	7	8	18	10	0
R53		13	10	15	12	15	6	14	16	18	10	11
R54		8	10	12	4	15	6	7	8	9	10	11
R55		13	14	15	8	15	6	14	8	9	10	11
R56		12	16	15	8	15	6	0	16	9	10	11
R57		13	14	12	12	10	6	0	8	9	10	11
R58		13	10	15	12	5	6	14	16	9	0	11
R59		13	12	12	4	15	12	14	8	18	10	11
R60		9	16	9	4	15	12	7	16	9	10	11
R61		12	12	18	12	15	6	14	8	18	10	11
R62		14	8	12	12	10	18	7	8	9	10	0
R63		12	12	15	16	15	18	14	0	9	10	11
R64		14	8	6	8	15	18	14	8	9	0	0
R65		14	10	9	12	15	12	7	16	18	10	11
R66		13	8	18	16	15	18	14	8	9	10	11
R67		10	14	9	8	15	6	0	8	9	10	11
R68		11	14	9	12	15	6	14	16	9	10	11
R69		12	12	9	12	10	12	14	16	9	10	0
R70		13	10	12	16	15	18	7	16	9	10	0
R71		11	14	9	12	5	6	14	16	18	10	11
R72		13	10	18	12	10	18	7	8	0	0	11
R73		14	14	6	12	15	6	0	16	18	10	0
R74		11	8	15	12	10	12	7	0	0	0	11
R75		11	10	18	12	10	12	7	16	9	10	11
R76		12	14	12	12	15	6	14	16	9	10	0
R77		13	16	15	8	15	12	14	8	9	10	11
R78		14	16	9	12	10	6	7	0	18	10	11
R79		14	12	15	16	15	18	0	8	9	10	11
R80		15	12	18	12	5	18	7	8	0	10	0
R81		12	14	15	8	10	12	14	8	9	10	11
R82		13	14	12	16	15	18	7	8	0	10	11
R83		12	16	9	16	15	12	14	16	9	10	11
R84		13	10	6	12	15	6	14	8	9	10	11
R85		12	10	15	8	10	12	14	8	0	10	11
R86		13	12	12	12	15	6	14	16	0	10	11
R87		12	12	15	12	15	6	7	16	9	0	11
R88		11	14	15	12	10	12	14	8	9	10	11
R89		10	12	15	16	15	12	0	0	18	10	0
R90		13	10	9	16	5	0	7	8	9	10	11
R91		12	14	12	8	10	12	14	0	9	10	11
R92		13	10	9	16	10	12	14	0	9	10	11
R93		10	12	12	12	5	12	14	8	9	10	11
R94		11	8	12	8	10	6	0	16	9	10	11
R95		12	12	3	16	10	12	14	16	18	10	11
R96		14	12	3	8	15	12	14	0	18	0	11
R97		12	12	6	8	10	6	7	16	18	10	0
R98		11	10	9	12	5	0	14	8	18	10	11
