500 steps, 10000 repititions, hazard 0.015000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		14	14	15	12	10	12	14	16	18	10	11
R2		14	10	15	12	5	18	14	8	18	10	11
R3		17	14	15	12	15	18	14	16	9	10	11
R4		14	16	15	16	15	12	14	16	9	10	11
R5		15	18	18	12	15	12	7	16	18	0	11
R6		14	14	15	16	10	18	14	16	18	0	11
R7		15	14	15	16	15	18	14	16	18	10	11
R8		17	16	18	8	15	6	14	16	18	10	11
R9		16	16	18	12	15	12	14	8	18	0	0
R10		14	18	12	8	5	12	14	16	18	10	11
R11		16	16	18	16	15	6	14	16	9	10	11
R12		18	14	18	16	15	18	7	8	18	10	11
R13		17	12	18	16	15	12	14	16	18	10	11
R14		14	14	12	12	15	12	14	8	9	10	11
R15		18	16	18	12	15	18	14	16	18	10	11
R16		13	14	18	12	15	12	7	16	9	10	11
R17		18	16	15	8	10	12	7	8	0	10	11
R18		13	16	12	12	15	12	14	8	18	10	11
R19		15	14	15	16	15	18	14	8	9	10	11
R20		17	18	15	16	15	12	7	8	9	10	11
R21		15	14	9	16	15	18	14	16	9	10	11
R22		14	14	12	12	15	12	14	16	9	10	11
R23		16	16	15	16	15	12	14	0	18	10	11
R24		16	14	18	16	15	12	7	16	9	0	11
R25		16	14	15	8	15	12	14	16	18	10	11
R26		16	14	15	12	15	12	14	16	18	10	11
R27		14	12	12	16	10	12	14	16	9	10	11
R28		14	16	15	16	15	12	14	8	18	10	11
R29		16	18	15	16	10	12	14	16	18	10	11
R30		15	16	12	16	15	18	7	16	0	10	11
R31		13	12	18	16	15	18	14	16	9	10	11
R32		14	16	15	16	10	12	14	16	9	10	11
R33		14	14	12	12	10	12	14	16	18	10	11
R34		15	12	18	16	15	12	14	0	18	10	11
R35		17	16	15	12	15	12	14	16	9	10	11
R36		16	18	15	12	10	12	14	16	9	10	11
R37		17	18	12	8	15	18	7	16	9	10	11
R38		17	16	12	12	15	18	14	16	18	10	0
R39		15	16	12	12	15	18	14	16	9	10	11
R40		15	16	9	16	15	18	14	16	9	10	11
R41		18	16	15	16	15	12	14	16	9	10	11
R42		16	14	15	12	10	18	7	8	18	10	11
R43		18	14	12	16	15	18	14	8	9	10	11
R44		16	12	6	16	15	18	14	16	18	10	11
R45		17	14	18	16	10	18	14	16	18	10	11
R46		15	10	9	16	15	6	7	16	18	10	11
R47		15	16	15	16	15	6	7	0	18	10	11
R48		16	12	15	12	5	6	14	16	18	10	11
R49		18	16	12	12	15	18	14	8	9	10	11
R50		16	14	12	16	10	12	14	8	18	10	11
R51		14	18	15	16	10	18	14	8	18	10	11
R52		17	18	15	16	15	18	7	16	9	10	11
R53		17	16	15	16	10	18	14	16	9	10	11
R54		17	12	18	12	15	18	14	16	18	10	11
R55		15	14	12	16	15	18	14	16	18	10	11
R56		16	16	15	12	10	12	14	16	9	10	11
R57		17	16	18	16	10	12	14	16	9	10	11
R58		16	16	12	12	10	12	14	16	18	10	11
R59		17	18	12	16	15	12	14	16	9	0	0
R60		13	18	12	16	15	18	14	16	18	10	11
R61		17	16	15	12	5	12	14	8	9	10	11
R62		17	16	12	16	15	18	14	16	18	10	11
R63		16	16	15	8	15	18	7	16	18	10	11
R64		16	14	18	16	15	18	14	8	9	10	11
R65		17	12	18	12	15	12	14	16	0	10	11
R66		14	14	15	8	15	18	14	16	9	10	11
R67		17	18	15	16	15	18	7	16	18	10	11
R68		16	16	12	12	15	18	14	16	18	10	11
R69		15	16	15	8	5	18	14	16	18	10	11
R70		12	16	15	16	15	18	14	16	18	10	11
R71		16	16	18	12	10	18	7	16	18	10	11
R72		14	14	15	16	15	18	14	8	9	10	11
R73		14	16	12	16	15	18	14	8	18	10	11
R74		14	16	15	12	15	12	14	16	18	10	11
R75		13	14	12	12	15	12	14	8	9	10	11
R76		17	14	15	12	15	6	14	16	18	10	11
R77		15	12	15	16	15	18	7	8	18	10	11
R78		16	16	15	16	15	12	7	16	9	10	11
R79		16	16	15	16	15	12	14	8	9	10	11
R80		15	16	15	16	15	12	7	16	18	10	11
R81		16	12	15	8	10	12	7	16	18	10	11
R82		15	14	12	16	10	6	7	16	18	10	0
R83		15	16	12	16	10	12	14	8	9	10	11
R84		16	14	9	12	15	18	14	16	18	10	11
R85		15	14	15	16	15	18	14	8	18	10	0
R86		14	16	15	16	10	12	14	16	18	10	11
R87		14	14	15	12	15	12	7	16	9	0	11
R88		17	14	15	8	15	12	7	8	18	10	11
R89		15	16	15	12	15	12	14	8	9	10	11
R90		15	16	9	16	10	18	14	16	18	10	11
R91		15	14	12	12	15	18	14	8	9	10	11
R92		18	18	18	12	15	18	14	8	18	10	0
R93		16	16	12	16	15	18	14	16	0	10	11
R94		12	16	15	12	15	12	14	16	18	10	11
R95		16	18	15	16	15	18	14	8	18	10	11
R96		17	16	18	16	15	6	14	8	9	10	11
R97		15	16	15	16	10	12	7	0	9	10	11
R98		14	18	18	8	15	12	14	16	9	0	11
R99		18	18	15	12	10	18	14	0	9	0	11
R100		16	16	12	12	15	12	14	16	9	10	11
R101		15	18	12	12	15	12	14	16	9	10	0
R102		11	8	18	16	15	18	14	16	9	10	11
R103		14	16	12	16	15	18	14	16	9	10	11
R104		13	10	9	16	15	18	14	8	9	10	11
R105		15	14	18	12	15	18	14	16	9	10	11
R106		13	14	15	12	15	18	14	16	9	10	11
R107		15	18	15	16	15	12	7	16	9	10	11
R108		15	16	15	16	15	18	14	8	9	10	11
R109		16	14	15	16	15	12	14	16	18	10	11
R110		14	16	18	16	15	18	14	16	18	10	11
R111		16	18	18	16	15	12	14	16	9	10	11
R112		15	12	12	16	5	12	14	16	18	10	11
R113		15	14	12	8	15	12	14	16	18	10	11
R114		14	18	15	16	15	12	7	8	18	10	11
R115		13	16	15	12	10	12	14	8	0	10	11
R116		16	12	15	16	15	12	14	16	18	10	11
R117		17	14	15	12	5	18	14	8	18	10	11
R118		14	16	12	12	15	12	14	8	9	10	11
R119		14	16	18	16	10	12	7	16	18	10	11
R120		18	18	18	16	15	18	14	8	18	10	11
R121		15	16	18	16	10	18	14	16	9	10	11
R122		15	16	12	16	15	18	14	16	18	10	11
R123		13	14	9	16	15	12	14	16	18	10	11
R124		16	16	18	12	15	12	7	8	9	10	11
R125		17	14	18	12	15	12	14	8	9	10	11
R126		17	12	15	16	15	12	14	8	18	10	11
R127		16	14	12	16	15	18	14	16	9	10	11
R128		15	18	15	16	15	18	14	16	18	10	0
R129		14	12	18	12	15	18	14	16	18	0	0
R130		15	14	18	16	10	12	14	16	18	0	11
R131		15	14	12	12	15	12	14	16	18	10	11
R132		15	18	15	16	15	12	7	16	18	10	11
R133		16	16	18	16	15	18	14	16	9	10	11
R134		17	12	18	16	15	12	7	16	9	10	11
R135		16	16	12	16	10	18	14	16	18	10	11
R136		14	14	15	16	15	12	14	8	18	10	11
R137		17	16	18	16	15	18	14	16	9	10	0
R138		17	16	15	16	15	12	14	16	18	10	11
R139		14	16	15	8	15	18	14	16	9	0	11
R140		16	12	18	16	15	18	14	16	18	10	11
R141		15	10	12	16	15	12	14	16	9	10	11
R142		14	14	9	16	15	18	14	8	18	10	11
R143		13	14	15	16	15	12	7	8	9	10	11
R144		15	18	15	16	15	12	14	8	18	10	11
R145		16	14	15	8	15	12	7	16	9	10	0
R146		14	16	12	16	10	12	14	16	9	10	11
R147		16	18	18	16	15	12	14	8	9	0	11
R148		12	16	18	12	15	12	7	0	9	0	11
R149		15	16	18	16	15	12	14	16	18	10	11
R150		17	12	15	12	15	18	14	8	9	10	11
R151		16	14	12	16	15	18	14	16	9	10	11
R152		15	16	18	16	15	18	14	16	18	0	11
R153		14	16	15	8	15	18	14	16	18	10	11
R154		15	16	12	16	15	18	14	16	9	10	11
R155		17	14	15	8	10	12	14	16	9	10	11
R156		15	14	15	12	10	18	7	16	18	10	11
R157		16	16	9	16	15	12	14	16	9	10	11
R158		16	14	12	12	10	6	14	8	18	10	11
R159		17	16	18	12	10	18	0	16	18	10	0
R160		15	16	18	16	15	12	7	16	9	10	0
R161		17	16	9	12	15	18	14	8	18	10	11
R162		14	16	18	12	15	18	14	8	9	10	11
R163		15	12	15	12	15	12	14	16	18	10	11
R164		16	16	15	16	15	12	7	0	18	10	11
R165		14	18	12	16	15	12	14	16	9	10	11
R166		16	16	15	12	15	12	7	8	18	10	11
R167		15	18	18	12	10	12	14	16	18	10	0
R168		14	14	15	8	15	6	14	16	18	10	11
R169		14	16	15	16	15	6	14	16	9	10	11
R170		15	14	15	16	15	6	7	16	18	10	11
R171		14	14	15	16	15	12	14	16	9	10	0
R172		15	14	15	16	10	18	14	16	18	10	11
R173		13	14	18	16	15	18	14	16	18	10	11
R174		15	16	18	16	15	12	7	8	18	10	11
R175		16	12	15	16	15	12	14	16	18	10	0
R176		15	16	12	8	15	18	14	16	18	0	11
R177		13	14	18	12	15	18	14	8	9	10	11
R178		16	10	18	12	15	12	14	16	18	0	0
R179		18	16	15	16	15	12	14	8	18	10	11
R180		13	16	18	16	15	6	14	16	18	10	11
R181		15	16	18	16	15	18	14	8	9	10	11
R182		13	12	15	16	15	12	7	8	18	10	11
R183		15	14	15	12	15	18	14	8	18	10	0
R184		15	12	15	16	15	12	14	16	9	10	11
R185		14	18	18	12	5	18	14	16	18	10	11
R186		17	14	18	16	15	18	14	16	9	10	11
R187		13	16	15	16	15	18	14	8	9	10	11
R188		16	14	12	8	15	18	7	8	9	10	11
R189		16	16	15	8	15	12	7	16	18	10	0
