500 steps, 10000 repititions, hazard 0.060000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		5	8	6	12	10	6	7	8	9	10	0
R2		6	8	9	4	0	0	7	8	18	0	0
R3		6	8	9	4	10	6	7	8	9	0	0
R4		9	10	9	4	10	12	0	8	9	0	0
R5		7	6	6	12	10	12	14	8	0	10	0
R6		7	6	9	4	10	12	7	0	9	10	11
R7		9	4	12	12	5	6	7	8	9	10	0
R8		10	2	9	12	5	6	0	8	9	10	11
R9		8	8	6	12	5	0	14	8	9	10	11
R10		7	10	9	4	10	6	7	8	9	10	11
R11		10	8	12	4	0	6	7	0	9	0	0
R12		4	8	0	8	10	0	7	8	0	0	11
R13		8	4	6	4	10	0	7	16	9	10	0
R14		10	12	9	8	15	0	0	16	9	0	0
R15		12	4	9	8	0	6	14	8	9	10	0
R16		10	6	6	8	10	6	7	8	9	10	11
R17		11	8	9	0	10	12	14	0	0	0	0
R18		9	10	9	12	5	12	0	0	9	0	0
R19		8	10	12	8	5	12	0	0	18	0	0
R20		10	12	3	4	15	12	14	8	9	0	0
R21		9	6	9	8	5	0	7	16	0	0	0
R22		8	6	9	4	10	0	7	16	0	0	0
R23		7	10	9	0	5	12	14	8	18	10	0
R24		6	6	12	12	5	12	14	8	9	0	0
R25		8	6	9	12	0	6	7	8	9	0	0
R26		8	6	9	12	5	12	7	0	9	10	11
R27		8	6	9	8	10	12	7	0	9	0	11
R28		6	2	12	8	15	6	14	8	9	0	11
R29		5	8	6	4	0	6	14	8	9	10	11
R30		9	10	9	8	0	12	7	16	9	0	11
R31		7	4	12	8	5	0	7	0	9	10	0
R32		6	2	6	8	5	12	0	0	9	0	11
R33		9	8	6	8	5	0	7	16	0	0	0
R34		6	10	9	4	5	6	0	8	9	10	0
R35		6	6	9	0	10	0	7	0	0	0	11
R36		7	8	6	4	10	6	0	0	9	10	0
R37		6	6	6	12	0	6	14	0	9	10	11
R38		4	10	6	0	10	0	7	8	9	0	0
R39		7	8	0	8	10	12	14	8	0	10	11
R40		6	2	0	8	5	0	7	0	9	10	0
R41		11	8	3	8	15	6	7	16	0	10	0
R42		6	8	3	12	0	12	7	16	9	10	0
R43		10	10	9	12	5	6	7	8	9	10	0
R44		11	4	12	4	10	6	14	8	9	10	11
R45		5	10	0	4	10	12	7	8	0	0	11
R46		7	6	6	8	0	6	7	8	0	10	0
R47		8	10	6	8	5	12	14	16	9	10	11
R48		5	12	0	16	5	6	0	8	0	0	11
R49		8	4	9	8	10	6	7	8	0	10	0
R50		9	8	9	12	5	0	0	8	0	10	11
R51		8	6	6	8	10	6	0	8	9	10	11
R52		7	8	6	8	10	6	7	8	0	10	0
R53		6	6	9	8	5	6	7	8	9	0	11
R54		8	10	9	12	0	6	7	0	0	10	0
R55		10	6	9	4	5	12	14	0	9	10	0
R56		7	8	9	8	15	6	7	0	9	10	11
R57		7	8	6	16	10	6	7	8	9	0	0
R58		10	10	6	8	5	6	7	8	0	10	0
R59		7	8	9	4	5	6	14	0	0	0	11
R60		7	8	12	12	5	6	0	8	9	0	0
R61		10	8	6	8	5	0	14	8	9	10	0
R62		7	10	3	4	5	6	0	16	18	10	11
R63		5	12	12	8	0	6	7	8	9	10	0
R64		3	12	6	4	5	12	0	16	9	0	0
R65		7	8	3	8	10	0	0	0	9	10	11
R66		9	4	9	8	5	6	7	0	0	10	0
R67		5	8	6	8	10	0	7	0	0	0	0
R68		9	10	6	4	10	0	7	0	18	0	0
R69		12	8	9	12	15	0	0	0	0	10	11
R70		6	8	12	8	5	6	14	0	9	0	0
R71		9	6	6	12	0	6	7	8	9	0	0
R72		10	8	9	0	15	12	7	8	9	10	11
R73		5	10	9	12	5	6	7	0	9	0	0
R74		10	10	6	8	0	6	0	8	18	0	0
R75		6	6	6	4	10	0	0	0	9	0	11
R76		5	8	3	4	10	12	7	8	0	10	11
R77		12	2	9	12	10	12	14	8	0	0	11
R78		8	8	6	16	10	18	7	8	9	0	11
R79		11	6	18	16	0	12	7	8	9	0	11
R80		9	8	6	8	10	6	0	0	0	0	11
R81		9	8	9	8	5	6	14	16	9	10	11
R82		6	6	6	0	10	0	7	8	0	10	11
R83		8	8	9	0	15	6	7	8	0	10	0
R84		7	14	6	4	10	6	14	8	0	10	0
R85		7	8	6	8	10	0	7	8	0	10	11
R86		3	4	6	12	5	6	7	0	0	0	11
R87		5	8	3	12	5	12	0	0	0	10	0
R88		3	6	6	4	5	12	7	16	0	10	11
R89		9	10	9	8	5	0	7	8	9	0	0
R90		7	10	12	8	0	12	14	16	9	0	11
R91		9	10	9	12	10	6	7	0	18	0	0
R92		11	4	6	4	10	6	14	0	9	0	0
R93		8	4	6	8	5	12	0	0	9	10	0
R94		4	6	9	8	0	6	14	8	9	10	11
R95		9	4	12	4	15	6	7	8	9	0	11
R96		10	4	3	0	10	12	7	8	0	0	11
R97		8	8	9	4	5	6	7	8	9	0	0
R98		7	10	9	8	15	6	7	0	9	0	11
R99		10	8	12	0	10	6	7	0	9	10	0
R100		6	12	6	4	10	6	7	8	0	10	0
R101		8	8	9	4	10	0	7	8	0	0	0
R102		10	12	12	12	5	0	0	16	0	0	0
R103		5	6	6	8	5	6	14	0	9	10	11
R104		8	2	3	8	15	6	7	8	9	10	11
R105		5	10	12	8	10	6	7	8	9	10	0
R106		6	6	3	4	10	0	0	8	9	0	0
R107		6	4	6	8	10	0	0	0	0	10	0
R108		9	10	6	4	15	12	0	0	0	0	11
R109		6	4	3	12	0	12	14	8	9	0	11
R110		5	6	9	8	5	6	7	0	18	0	0
R111		11	8	15	8	15	0	7	0	9	10	0
R112		9	6	9	0	10	6	7	0	9	0	11
R113		8	8	6	12	15	12	7	8	18	10	11
R114		7	6	9	8	5	0	14	0	9	10	0
R115		6	8	3	8	0	0	0	16	9	10	0
R116		7	8	9	8	15	6	7	0	0	10	0
R117		6	6	9	12	10	0	7	8	9	10	0
R118		9	2	9	8	10	0	7	8	18	10	0
R119		6	8	6	4	10	6	0	0	0	0	11
R120		10	14	9	12	0	12	0	0	9	10	0
R121		8	8	3	4	10	12	7	8	9	10	11
R122		12	10	9	12	15	6	0	8	0	10	0
R123		7	8	3	12	5	6	7	0	9	0	0
R124		9	2	6	0	5	18	7	0	9	0	11
R125		6	8	9	8	10	12	14	0	18	0	11
R126		6	2	9	4	15	0	7	8	9	0	11
R127		7	8	12	8	5	12	0	0	0	0	11
R128		7	12	6	4	10	6	7	8	9	0	11
R129		8	6	9	4	15	12	7	0	9	10	11
R130		4	10	6	8	5	12	0	8	9	0	11
R131		12	10	12	8	5	6	0	8	9	10	11
R132		9	10	9	8	5	12	14	8	0	0	11
R133		6	6	6	4	15	0	7	0	0	10	11
R134		7	8	3	8	10	6	7	8	9	10	11
R135		7	2	3	0	15	6	7	0	0	10	11
R136		7	10	6	4	10	0	7	0	9	10	0
R137		10	6	3	8	5	6	14	8	0	10	11
R138		6	10	12	4	15	6	14	8	9	10	11
R139		5	6	6	8	5	6	7	0	18	0	11
R140		8	8	3	12	10	12	7	0	0	10	0
R141		7	6	9	8	10	12	14	0	0	10	11
R142		8	6	9	8	0	6	7	8	9	0	0
R143		6	10	3	8	10	6	14	8	0	0	0
R144		7	4	0	12	15	6	7	8	9	10	11
R145		6	6	6	4	10	6	14	0	0	10	0
R146		8	8	15	8	5	6	0	8	0	10	11
R147		11	4	9	4	5	6	7	8	9	0	0
R148		7	4	6	8	10	6	7	0	0	10	0
R149		9	8	9	8	10	6	14	0	0	0	11
R150		3	12	15	16	5	12	7	0	9	10	11
R151		7	8	0	4	0	12	7	8	0	0	0
R152		8	10	6	4	0	6	0	8	9	0	11
R153		8	10	6	16	5	6	7	8	0	10	11
R154		7	4	15	4	5	12	7	8	9	0	0
R155		9	6	6	4	5	6	0	8	0	10	0
R156		5	14	9	0	10	0	14	0	18	10	11
R157		11	6	9	12	0	12	7	8	0	0	0
R158		4	2	0	4	10	12	7	0	9	0	0
R159		9	10	9	8	0	6	7	8	9	10	0
R160		7	10	6	8	0	0	14	0	9	10	11
R161		11	4	3	12	5	6	7	0	9	0	0
R162		8	4	12	8	5	12	7	8	0	0	11
R163		10	8	3	4	15	6	7	8	0	10	0
R164		7	10	6	4	5	6	7	8	9	10	0
R165		7	6	3	8	10	6	0	8	0	10	0
R166		6	10	9	8	10	12	7	8	18	10	11
R167		1	10	12	12	5	6	7	0	9	0	11
R168		2	10	6	8	5	6	14	0	9	0	11
R169		7	6	15	4	15	0	7	8	0	0	11
R170		8	8	9	8	10	0	7	0	9	0	0
R171		8	10	6	4	10	12	7	8	9	10	0
R172		10	8	6	4	5	0	0	0	0	0	11
R173		7	12	12	8	10	6	0	0	0	0	11
R174		9	8	9	12	5	12	0	8	0	10	0
R175		4	10	9	4	5	6	7	8	0	0	0
R176		7	8	6	4	0	0	0	8	9	10	11
R177		10	10	9	8	5	6	7	16	0	10	0
R178		9	10	9	4	15	0	14	8	0	10	11
R179		8	10	6	8	5	6	14	8	9	0	11
R180		7	8	6	0	10	0	7	0	9	0	0
R181		7	8	6	8	5	6	7	8	0	10	0
R182		6	10	6	4	5	6	7	8	9	10	11
R183		6	8	9	0	0	6	7	16	9	0	11
R184		12	4	12	12	0	12	7	16	0	10	0
R185		7	8	6	4	5	12	7	0	9	10	11
R186		8	10	9	0	5	6	0	8	0	10	0
R187		8	12	6	8	5	6	14	16	9	10	11
R188		8	12	6	12	5	12	14	8	9	0	11
R189		5	8	3	8	10	12	0	8	0	0	0
R190		9	8	9	8	5	0	7	8	0	10	11
