500 steps, 10000 repititions, hazard 0.007500, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		15	18	15	16	15	18	14	16	18	10	11
R2		18	14	15	16	10	18	14	16	18	10	11
R3		17	16	18	16	15	18	14	16	18	10	11
R4		18	16	15	16	15	18	14	16	18	10	11
R5		18	14	15	12	15	18	14	16	18	10	11
R6		15	18	18	16	15	12	14	8	18	10	0
R7		17	16	18	16	15	12	14	16	9	10	11
R8		14	14	18	12	15	18	14	16	9	10	11
R9		17	14	18	16	15	12	7	16	18	10	11
R10		17	18	18	16	15	18	14	16	9	10	11
R11		15	18	9	16	15	12	14	8	9	10	11
R12		16	16	15	16	15	18	14	16	18	10	11
R13		17	18	18	12	15	18	7	16	9	10	11
R14		18	18	18	12	15	18	14	16	18	10	11
R15		18	16	18	12	15	12	14	16	18	10	11
R16		18	18	15	12	15	12	14	16	18	10	11
R17		14	14	15	16	15	18	14	16	0	10	11
R18		16	16	18	16	15	12	14	16	9	10	11
R19		15	18	15	16	15	18	14	8	18	10	11
R20		18	18	15	16	15	18	14	16	9	10	11
R21		18	16	18	12	15	18	14	16	18	10	0
R22		16	16	15	16	15	18	14	16	9	10	11
R23		16	16	18	16	15	6	14	16	18	10	11
R24		15	16	15	16	15	18	14	16	18	10	11
R25		19	16	15	16	15	12	7	16	18	10	11
R26		16	18	18	16	15	18	14	16	18	10	11
R27		15	14	18	16	15	18	14	16	18	10	11
R28		16	18	18	16	15	18	14	16	0	10	11
R29		17	16	18	12	15	18	14	16	18	10	11
R30		18	16	15	16	15	18	14	16	18	10	11
R31		17	16	15	16	15	12	14	16	18	10	11
R32		18	18	18	16	15	18	14	16	18	10	11
R33		17	18	18	16	15	18	14	16	18	10	11
R34		17	16	18	16	15	18	14	16	18	10	11
R35		17	16	15	12	15	18	14	8	18	10	11
R36		17	18	18	16	15	18	14	16	18	10	11
R37		18	18	15	16	15	18	14	16	9	10	11
R38		16	18	12	12	15	18	14	16	18	10	11
R39		17	18	15	16	15	18	14	16	18	10	11
R40		18	14	18	16	15	18	14	16	18	10	11
R41		16	16	18	16	15	18	14	16	18	10	11
R42		17	18	18	16	15	12	14	16	18	10	11
R43		18	16	15	16	15	18	14	16	9	10	11
R44		17	18	15	16	15	18	14	16	18	10	11
R45		16	16	18	16	10	12	14	16	18	10	11
R46		16	16	15	16	15	18	14	16	18	10	11
R47		18	16	18	16	15	0	14	16	18	10	11
R48		18	18	18	16	15	18	14	16	18	10	11
R49		15	18	18	16	15	12	14	16	18	10	11
R50		18	16	18	16	15	18	14	16	18	10	11
R51		17	18	12	16	10	18	14	16	18	10	11
R52		18	18	18	16	15	18	14	16	9	10	11
R53		16	18	15	16	15	18	14	16	18	10	11
R54		15	16	15	16	15	18	14	16	9	10	11
R55		18	18	15	16	15	18	14	16	18	10	11
R56		17	16	18	16	10	12	14	16	9	10	0
R57		18	16	18	16	15	12	14	16	18	10	11
R58		15	16	18	16	15	18	14	8	18	10	11
R59		15	16	18	16	15	18	14	16	18	10	11
R60		18	14	18	12	10	18	14	8	9	10	11
R61		16	16	15	12	15	18	14	16	18	10	11
R62		18	18	15	16	15	18	14	16	18	10	11
R63		18	16	18	16	5	12	14	8	18	10	11
R64		15	18	12	16	15	18	14	16	18	10	11
R65		17	18	18	12	15	12	14	16	9	0	11
R66		18	16	18	16	10	18	14	16	18	10	11
R67		18	18	18	12	15	12	14	16	18	10	11
R68		16	16	18	16	15	12	14	16	18	10	11
R69		17	18	18	16	15	12	14	16	18	10	11
R70		17	14	15	12	15	12	7	16	18	10	11
R71		16	16	18	16	15	18	7	16	18	10	11
R72		18	18	15	16	10	18	14	16	18	10	11
R73		16	18	15	16	15	18	14	16	18	10	11
R74		17	14	15	16	15	18	14	16	18	10	11
R75		17	16	12	16	15	12	14	16	18	10	11
R76		19	16	18	16	15	12	14	16	18	10	11
R77		17	18	15	16	15	18	14	16	9	10	11
R78		17	16	18	16	10	18	14	16	18	10	11
R79		17	18	15	16	15	18	14	8	18	10	11
R80		18	16	18	16	15	12	14	16	18	10	11
R81		16	16	15	16	15	18	14	16	18	10	11
R82		18	18	18	16	15	12	7	8	18	10	11
R83		15	14	12	16	15	12	14	16	18	10	11
R84		18	16	15	16	15	18	14	16	18	10	11
R85		17	18	18	12	15	18	7	16	9	0	11
R86		18	14	18	16	15	12	14	16	18	10	11
R87		17	16	18	16	15	18	14	16	9	10	11
R88		15	18	15	16	15	18	14	16	9	10	11
R89		16	16	18	16	15	18	14	16	18	0	11
R90		16	18	18	16	10	18	14	16	18	10	11
R91		18	16	18	16	15	18	14	16	18	10	11
R92		15	16	18	16	15	18	14	16	18	10	11
R93		15	18	18	12	15	18	14	16	18	10	11
R94		17	14	18	16	15	18	14	8	18	10	11
R95		16	18	18	16	15	18	14	16	18	10	11
R96		17	18	15	16	15	12	14	16	18	10	11
R97		18	14	15	12	15	12	14	16	9	10	11
R98		17	16	18	16	15	12	14	16	18	10	11
R99		16	16	15	16	15	18	14	8	9	10	11
