1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		45	47	34	33	33	53	44	33	36	42	40
R2		36	35	41	39	52	52	32	37	35	40	29
R3		40	38	46	42	36	43	44	29	40	38	40
R4		40	35	46	38	40	36	37	44	39	39	47
R5		41	40	41	43	37	39	38	39	46	42	34
R6		43	45	39	41	42	35	42	31	47	37	36
R7		42	40	44	37	42	33	28	30	45	46	37
R8		35	33	41	33	47	44	41	30	49	44	23
R9		44	41	49	38	35	36	33	39	43	44	30
R10		36	36	34	37	38	42	40	30	42	25	41
R11		43	41	39	36	38	48	43	37	40	43	44
R12		40	42	39	39	26	45	38	36	39	44	46
R13		40	39	37	25	42	43	32	37	47	27	34
R14		36	45	34	40	44	47	42	48	41	42	48
R15		42	39	37	42	32	31	40	35	41	44	40
R16		33	33	47	47	45	35	33	48	39	45	48
R17		40	41	39	44	35	44	40	43	47	45	40
R18		40	46	44	31	40	44	42	30	35	34	38
R19		36	48	36	51	41	44	38	44	34	47	35
R20		42	32	43	37	33	40	37	40	45	41	37
R21		36	38	33	40	43	43	43	37	48	31	38
R22		37	38	38	40	45	40	39	39	41	36	39
R23		38	38	37	36	37	42	46	41	27	27	47
R24		42	39	42	41	46	41	32	46	46	43	33
R25		38	37	44	42	41	43	46	30	36	45	45
R26		40	39	40	36	32	41	35	36	43	39	38
R27		41	39	29	32	32	47	38	31	38	43	33
R28		43	33	39	39	46	41	28	29	46	36	35
R29		38	36	28	40	41	37	41	35	42	42	49
R30		38	39	39	42	41	43	43	31	46	35	38
R31		36	39	47	34	37	43	45	44	32	51	40
R32		38	44	46	35	40	39	34	34	42	39	37
R33		42	43	32	33	33	47	37	39	47	36	40
R34		38	42	44	34	38	36	43	40	50	31	46
R35		33	33	46	48	45	43	32	42	37	41	41
R36		37	36	45	46	46	40	38	45	44	37	30
R37		41	46	37	42	43	43	34	46	38	40	41
R38		36	45	43	38	45	47	37	47	35	41	40
R39		43	34	45	42	42	28	49	41	27	33	34
R40		42	38	37	42	39	47	43	44	41	36	40
R41		38	42	43	46	36	34	43	49	25	47	44
R42		45	42	31	36	34	40	36	43	48	47	40
R43		45	41	43	29	42	42	36	45	36	47	47
R44		37	41	42	38	41	46	39	42	50	28	42
R45		34	42	46	33	39	45	41	40	40	42	44
R46		42	39	46	41	37	39	34	42	23	39	48
R47		40	34	41	35	36	36	45	37	43	46	37
R48		40	39	35	39	43	38	40	37	41	28	34
R49		43	32	48	37	48	37	39	39	29	43	38
R50		37	39	40	43	40	44	38	44	43	42	31
R51		39	36	37	42	51	41	31	44	31	36	43
R52		39	34	38	33	42	43	42	33	40	42	36
R53		42	44	42	44	44	45	41	47	48	44	46
R54		34	45	45	39	38	45	35	29	43	42	43
R55		37	36	39	35	46	41	37	44	35	33	40
R56		39	43	42	35	32	45	44	42	38	40	39
R57		43	35	40	44	36	46	37	41	48	28	36
R58		44	44	46	43	40	48	38	39	32	38	36
R59		36	36	32	30	43	39	41	39	40	34	45
R60		42	41	39	41	41	40	48	46	41	47	40
R61		30	40	44	44	42	38	51	47	40	38	35
R62		41	45	36	42	38	46	45	40	30	44	35
R63		39	43	43	40	53	46	37	49	30	49	41
R64		36	42	37	37	39	35	40	38	41	33	29
R65		32	33	34	41	38	36	17	43	28	41	46
R66		37	42	41	42	35	31	21	26	42	40	45
R67		44	40	35	38	30	43	35	34	49	43	41
R68		40	37	45	28	41	39	43	36	32	50	33
R69		33	38	41	41	40	39	41	37	41	47	39
R70		34	42	33	34	32	30	43	42	39	44	35
R71		45	46	38	34	43	34	47	40	40	47	43
R72		40	36	42	39	40	36	42	32	50	51	49
R73		40	38	46	36	39	43	38	48	43	52	36
R74		34	33	40	43	40	44	35	33	39	47	25
R75		42	40	36	40	39	40	39	40	54	35	48
R76		40	40	40	33	36	39	43	32	44	38	46
R77		42	46	37	39	36	42	41	48	42	35	38
R78		48	42	41	41	33	45	33	39	36	37	37
R79		34	36	38	46	28	33	31	45	42	49	47
R80		38	42	41	39	34	35	44	42	42	24	34
R81		34	45	43	42	39	38	46	45	50	44	36
